,title,type,release_year,age_certification,runtime,imdb_score,imdb_votes
0,Taxi Driver,0,1976,4,0.48085106382978726,0.8395061728395062,0.35058103420075887
1,Monty Python and the Holy Grail,0,1975,2,0.3872340425531915,0.8271604938271603,0.23404134316573375
2,Life of Brian,0,1979,4,0.4,0.8024691358024691,0.173000458937443
3,The Exorcist,0,1973,4,0.5659574468085107,0.8148148148148148,0.17279016771716757
4,Monty Python's Flying Circus,1,1969,5,0.1276595744680851,0.9012345679012347,0.032134438251311674
5,Dirty Harry,0,1971,4,0.4340425531914894,0.7654320987654322,0.06765381568349275
6,My Fair Lady,0,1964,0,0.723404255319149,0.7777777777777778,0.04149217712251955
7,The Blue Lagoon,0,1980,4,0.44255319148936173,0.5308641975308642,0.030440646074585933
8,Bonnie and Clyde,0,1967,4,0.46808510638297873,0.7654320987654322,0.04901681139434542
9,The Professionals,0,1966,3,0.4978723404255319,0.7160493827160493,0.007125654074028682
10,The Guns of Navarone,0,1961,11,0.6723404255319149,0.7407407407407407,0.022107029854740348
11,Lupin the Third: The Castle of Cagliostro,0,1979,2,0.425531914893617,0.7530864197530864,0.013345777400791702
12,Richard Pryor: Live in Concert,0,1979,4,0.33191489361702126,0.8148148148148148,0.0022642677302611713
13,The Long Riders,0,1980,4,0.42127659574468085,0.6666666666666667,0.004992322386580511
14,White Christmas,0,1954,11,0.48936170212765956,0.7407407407407407,0.01867844532626661
15,Cairo Station,0,1958,11,0.32765957446808514,0.7407407407407407,0.0019309759849189894
16,The Queen,0,1968,11,0.2893617021276596,0.7037037037037037,0.0004902386518789763
17,Hitler: A Career,0,1977,2,0.6382978723404256,0.7407407407407407,0.001062918515899471
18,FTA,0,1972,4,0.4127659574468085,0.5802469135802469,0.00017899001138746795
19,Saladin the Victorious,0,1963,11,0.7914893617021277,0.7530864197530864,0.0010867250691381984
20,Singapore,0,1960,11,0.6723404255319149,0.6049382716049383,3.394638147003703e-05
21,Dark Waters,0,1956,11,0.5106382978723404,0.6419753086419754,0.0002579043267528787
22,Alexandriaâ€¦ Why?,0,1979,11,0.5659574468085107,0.7037037037037037,0.0007424117713706799
23,Raya and Sakina,0,1953,11,0.4468085106382979,0.654320987654321,9.963483392504375e-05
24,No Longer Kids,0,1979,11,1.0,0.9259259259259259,0.00041352864699863287
25,Amrapali,0,1966,11,0.5106382978723404,0.6419753086419754,9.698966134296294e-05
26,Dostana,0,1980,11,0.6851063829787234,0.0740740740740741,8.817241940269358e-06
27,The Blazing Sun,0,1954,11,0.425531914893617,0.7283950617283951,0.00053520658577435
28,Monty Python's Fliegender Zirkus,1,1972,7,0.18297872340425533,0.8148148148148148,0.0009430040255118078
29,The Return of the Prodigal Son,0,1976,11,0.5276595744680851,0.7037037037037037,0.000336377780021276
30,Prince,0,1969,11,0.6468085106382979,0.6666666666666667,7.186052181319527e-05
31,Manoranjan,0,1974,11,0.6893617021276596,0.6172839506172839,0.00010183914441011109
32,"Beirut, Oh Beirut",0,1975,11,0.46808510638297873,0.6172839506172839,4.452707179836026e-05
33,We Are All for the Fatherland,0,1979,11,0.3148936170212766,0.5802469135802469,1.6752759686511782e-05
34,Whispers,0,1980,11,0.39574468085106385,0.7777777777777778,3.086034679094276e-05
35,Lal Patthar,0,1971,11,0.6510638297872341,0.5802469135802469,5.819379680577777e-05
36,Ujala,0,1959,11,0.6042553191489362,0.6419753086419754,3.218293308198316e-05
37,Alibaba Aur 40 Chor,0,1979,11,0.5872340425531914,0.5802469135802469,0.00024247415335740735
38,Professor,0,1962,11,0.6936170212765957,0.654320987654321,0.000123441387163771
39,Chadi Jawani Budhe Nu,0,1976,11,0.574468085106383,0.382716049382716,3.967758873121211e-06
40,Bandie,0,1978,11,0.6,0.33333333333333337,1.3225862910404038e-05
41,Khoon Khoon,0,1973,11,0.5574468085106383,0.4444444444444444,1.5871035492484847e-05
42,Top Gun,0,1986,2,0.46808510638297873,0.6666666666666667,0.1453306311425867
43,Seinfeld,1,1989,8,0.1021276595744681,0.9135802469135804,0.13344675245549167
44,Stand by Me,0,1986,4,0.37872340425531914,0.8148148148148148,0.173164018775435
45,Once Upon a Time in America,0,1984,4,0.9744680851063829,0.8395061728395062,0.15092032167062047
46,When Harry Met Sally...,0,1989,4,0.4085106382978724,0.7654320987654322,0.09386306735094342
47,Teenage Mutant Ninja Turtles,0,1990,2,0.39574468085106385,0.6419753086419754,0.04084234639152169
48,Full Metal Jacket,0,1987,4,0.49361702127659574,0.8395061728395062,0.3188759956319383
49,Christine,0,1983,4,0.3829787234042553,0.6419753086419754,0.03568337813227009
50,A Nightmare on Elm Street,0,1984,4,0.3872340425531915,0.7283950617283951,0.10163546612129086
51,Knight Rider,1,1982,8,0.2170212765957447,0.6666666666666667,0.01488130008468961
52,Awakenings,0,1990,3,0.5106382978723404,0.7777777777777778,0.06063793627162043
53,Thomas & Friends,1,1984,9,0.0425531914893617,0.6172839506172839,0.0021791813455375717
54,Annie,0,1982,2,0.5404255319148936,0.6296296296296295,0.019777514534121184
55,Pet Sematary,0,1989,4,0.43829787234042555,0.6172839506172839,0.04505919234945552
56,Saved by the Bell,1,1989,6,0.09787234042553192,0.691358024691358,0.015363603218822344
57,She's Gotta Have It,0,1986,4,0.3574468085106383,0.6419753086419754,0.006291983848576215
58,Eddie Murphy Raw,0,1987,4,0.39574468085106385,0.7530864197530864,0.008658972447441524
59,Endless Love,0,1981,4,0.49361702127659574,0.4197530864197532,0.003689574889905713
60,Wheel of Fortune,1,1983,6,0.11063829787234043,0.6419753086419754,0.0013759306047790333
61,Major Dad,1,1989,8,0.1021276595744681,0.6049382716049383,0.0012613064595555317
62,Fireman Sam,1,1987,9,0.0425531914893617,0.5679012345679012,0.0007732721181616227
63,Danger Mouse,1,1981,9,0.06382978723404255,0.7283950617283951,0.0015469850984202588
64,Mobile Suit Gundam II: Soldiers of Sorrow,0,1981,11,0.5659574468085107,0.7037037037037037,0.0005453464140056598
65,Mobile Suit Gundam: Char's Counterattack,0,1988,11,0.5106382978723404,0.7160493827160493,0.0007247772874901412
66,Sam Kinison: Breaking the Rules,0,1987,4,0.2127659574468085,0.7037037037037037,0.00028479691467070027
67,Tim Allen: Men Are Pigs,0,1990,11,0.1276595744680851,0.5555555555555556,0.0001534200097606868
68,Monty Python Live at the Hollywood Bowl,0,1982,4,0.32765957446808514,0.7901234567901235,0.0066927274947614565
69,The George McKenna Story,0,1988,11,0.425531914893617,0.5555555555555556,0.0003950124389240672
70,Unspeakable Acts,0,1990,11,0.425531914893617,0.5555555555555556,0.00019530190897696628
71,Waiting for the Hearse,0,1985,11,0.3702127659574468,0.8024691358024691,0.0027686139692445783
72,Mobile Suit Gundam III: Encounters in Space,0,1982,11,0.6127659574468085,0.7654320987654322,0.0005312388269012288
73,Agneepath,0,1990,11,0.7404255319148936,0.7530864197530864,0.003922350077128824
74,Parrot Sketch Not Included: Twenty Years of Monty Python,0,1989,11,0.30638297872340425,0.8148148148148148,0.0006687878011694308
75,Too Young The Hero,0,1988,11,0.425531914893617,0.6419753086419754,0.0002155815654395858
76,Adam: His Song Continues,0,1986,11,0.425531914893617,0.6790123456790124,8.993586779074745e-05
77,Disco Dancer,0,1982,11,0.5702127659574469,0.6172839506172839,0.0006366048680874477
78,The Ryan White Story,0,1989,11,0.4340425531914894,0.7037037037037037,0.00037561450665547465
79,In Defense of a Married Man,0,1990,11,0.4,0.5061728395061728,8.596810891762625e-05
80,Dil,0,1990,11,0.7319148936170213,0.6296296296296295,0.0023224615270669487
81,Bye Bye London,0,1982,11,0.723404255319149,0.8888888888888885,6.568845245500671e-05
82,Quiet Victory: The Charlie Wedemeyer Story,0,1988,11,0.425531914893617,0.691358024691358,6.127983148487204e-05
83,"Alexandria, Again and Forever",0,1989,11,0.4468085106382979,0.6172839506172839,0.0002812700178945925
84,Strange Voices,0,1987,11,0.425531914893617,0.5925925925925926,0.0001551834581487407
85,Aakhri Adaalat,0,1988,11,0.6297872340425532,0.4444444444444444,3.835500244017171e-05
86,A Stoning in Fulham County,0,1988,11,0.5106382978723404,0.5308641975308642,0.00016532328638005044
87,Muqaddar Ka Faisla,0,1987,11,0.7319148936170213,0.40740740740740733,2.777431211184848e-05
88,Sohni Mahiwal,0,1984,11,0.6808510638297872,0.5679012345679012,0.00012873173232793263
89,The Little Wars,0,1982,11,0.4595744680851064,0.5925925925925926,6.348414196993938e-05
90,Duniya,0,1984,11,0.723404255319149,0.5802469135802469,0.00010404345489517843
91,High Risk,1,1988,8,0.2127659574468085,0.28395061728395066,4.4086209701346775e-07
92,Pyar Ke Do Pal,0,1986,11,0.6510638297872341,0.5679012345679012,2.6451725820808077e-05
93,Jaal,0,1986,11,0.676595744680851,0.45679012345679015,5.1580865350575746e-05
94,Mujrim,0,1989,11,0.6893617021276596,0.4814814814814815,8.067776375346463e-05
95,An Egyptian Story,0,1982,11,0.548936170212766,0.7160493827160493,0.0004884752034909224
96,Ek Jaan Hain Hum,0,1983,11,0.6425531914893617,0.5925925925925926,2.865603630587542e-05
97,The Quick and the Dead,0,1995,4,0.4553191489361702,0.6172839506172839,0.040655861724484994
98,Survivor,1,2000,8,0.2042553191489362,0.7283950617283951,0.010740723269539119
99,Stargate SG-1,1,1997,8,0.18723404255319148,0.851851851851852,0.039761793391741684
100,PokÃ©mon,1,1997,10,0.09361702127659574,0.7530864197530864,7.362397020124914e-05
101,Forrest Gump,0,1994,3,0.6042553191489362,0.9012345679012347,0.8793408935304811
102,Happy Gilmore,0,1996,3,0.39148936170212767,0.6790123456790124,0.09590029110124265
103,One Piece,1,1999,5,0.09787234042553192,0.9012345679012347,0.04963269574387323
104,Saving Private Ryan,0,1998,4,0.7191489361702128,0.8765432098765432,0.593406995511583
105,Cowboy Bebop,1,1998,5,0.10638297872340426,0.9135802469135804,0.04976539523507428
106,Star Trek: Deep Space Nine,1,1993,8,0.2,0.8148148148148148,0.026954308611403428
107,The Challenge,1,1998,5,0.1702127659574468,0.7777777777777778,0.0014411781951370265
108,Gattaca,0,1997,3,0.451063829787234,0.7777777777777778,0.13144876543182663
109,Gilmore Girls,1,2000,5,0.19574468085106383,0.8271604938271603,0.05248419178735634
110,Blade,0,1998,4,0.5106382978723404,0.691358024691358,0.1177877716316703
111,You've Got Mail,0,1998,2,0.5063829787234042,0.6419753086419754,0.09225171638635919
112,Starship Troopers,0,1997,4,0.548936170212766,0.7160493827160493,0.12738930724252662
113,Neon Genesis Evangelion,1,1995,5,0.1021276595744681,0.8641975308641975,0.02853347664290567
114,The Magic School Bus,1,1994,9,0.11063829787234043,0.7777777777777778,0.00427768492732168
115,Donnie Brasco,0,1997,4,0.5404255319148936,0.7654320987654322,0.1322886077266373
116,Power Rangers,1,1993,10,0.09361702127659574,0.6172839506172839,0.00967427785686354
117,U.S. Marshals,0,1998,3,0.5361702127659574,0.6172839506172839,0.04552253841341667
118,Adventures of Sonic the Hedgehog,1,1993,10,0.09361702127659574,0.5802469135802469,0.0016765985549422183
119,Wild Things,0,1998,4,0.4595744680851064,0.6296296296296295,0.052377062297782065
120,Last Action Hero,0,1993,3,0.5531914893617021,0.6049382716049383,0.06581409815265556
121,Seven Years in Tibet,0,1997,3,0.5787234042553192,0.691358024691358,0.062295136894294056
122,The Devil's Advocate,0,1997,11,0.6127659574468085,0.7407407407407407,0.15933505651631655
123,A River Runs Through It,0,1992,2,0.5234042553191489,0.7037037037037037,0.026046573553652697
124,"Girl, Interrupted",0,1999,4,0.5404255319148936,0.7160493827160493,0.07958751178755032
125,Goosebumps,1,1995,8,0.09361702127659574,0.7530864197530864,0.005888154167711878
126,Yu-Gi-Oh!,1,1998,9,0.09361702127659574,0.7037037037037037,0.00920652317193225
127,InuYasha,1,2000,5,0.10638297872340426,0.7901234567901235,0.006973556650559036
128,Any Given Sunday,0,1999,4,0.6893617021276596,0.6666666666666667,0.052230696081573595
129,Menace II Society,0,1993,4,0.4127659574468085,0.7407407407407407,0.025302839195990977
130,Desperado,0,1995,4,0.44255319148936173,0.691358024691358,0.08095682946087414
131,The Mask of Zorro,0,1998,3,0.5787234042553192,0.654320987654321,0.07992873905063874
132,The Patriot,0,2000,4,0.7021276595744681,0.7037037037037037,0.11913240102756137
133,Road Trip,0,2000,4,0.39574468085106385,0.6172839506172839,0.07391714349576309
134,Free Willy,0,1993,2,0.4765957446808511,0.5555555555555556,0.03317002331719631
135,3 Ninjas Kick Back,0,1994,2,0.39574468085106385,0.37037037037037035,0.0040572538788149455
136,In the Line of Fire,0,1993,4,0.5446808510638298,0.7037037037037037,0.044938836996970835
137,The Replacements,0,2000,3,0.5021276595744681,0.6296296296296295,0.02825132490081705
138,Johnny Mnemonic,0,1995,4,0.4127659574468085,0.5061728395061728,0.03132633802748599
139,Little Women,0,1994,2,0.48936170212765956,0.7160493827160493,0.025400710581527968
140,Anaconda,0,1997,3,0.37872340425531914,0.40740740740740733,0.04560894738443131
141,My Girl,0,1991,2,0.43829787234042555,0.6666666666666667,0.03517859103118967
142,Cliffhanger,0,1993,4,0.4765957446808511,0.6172839506172839,0.056507058422604235
143,I Know What You Did Last Summer,0,1997,4,0.4297872340425532,0.5185185185185185,0.06290705348494874
144,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,0,1991,2,0.37446808510638296,0.5555555555555556,0.02446520121166539
145,Barney & Friends,1,1992,6,0.11914893617021277,0.28395061728395066,0.004386577865284006
146,Hollow Man,0,2000,4,0.4765957446808511,0.5308641975308642,0.05735351364887009
147,Godzilla,0,1998,3,0.5659574468085107,0.4814814814814815,0.08452075865313102
148,Neon Genesis Evangelion: The End of Evangelion,0,1997,11,0.3702127659574468,0.8024691358024691,0.02289529128420043
149,Spawn,0,1997,3,0.4085106382978724,0.45679012345679015,0.02987105224524453
150,Dennis the Menace,0,1993,2,0.4042553191489362,0.5061728395061728,0.0267929530838965
151,The Net,0,1995,3,0.48510638297872344,0.54320987654321,0.029150683578724527
152,The Devil's Own,0,1997,4,0.4553191489361702,0.5802469135802469,0.028488508709010298
153,Croupier,0,1998,4,0.4,0.6790123456790124,0.009424309047856903
154,Teenage Mutant Ninja Turtles III,0,1993,2,0.4085106382978724,0.3950617283950617,0.014602675239377097
155,The General's Daughter,0,1999,4,0.49361702127659574,0.6049382716049383,0.02588786319872785
156,The Next Karate Kid,0,1994,2,0.4553191489361702,0.37037037037037035,0.013284497569306828
157,I Still Know What You Did Last Summer,0,1998,4,0.425531914893617,0.3950617283950617,0.03229932067559471
158,Double Team,0,1997,4,0.39574468085106385,0.3950617283950617,0.015043096474293553
159,Under Suspicion,0,2000,4,0.46808510638297873,0.6172839506172839,0.011209800540761448
160,Moesha,1,1996,8,0.08936170212765958,0.5185185185185185,0.001634716655725939
161,"Sister, Sister",1,1994,8,0.09361702127659574,0.5802469135802469,0.005524002075578753
162,Cardcaptor Sakura,1,1998,10,0.10638297872340426,0.8024691358024691,0.0021738910003734103
163,Geronimo: An American Legend,0,1993,3,0.48936170212765956,0.6172839506172839,0.005070354977751895
164,The Mirror Has Two Faces,0,1996,3,0.5361702127659574,0.6296296296296295,0.008739650211194988
165,Girlfriends,1,2000,8,0.08936170212765958,0.7037037037037037,0.0019737396083292958
166,Knight Rider 2000,0,1991,0,0.3872340425531915,0.37037037037037035,0.0013988554338237337
167,The Last Days,0,1998,3,0.3702127659574468,0.7901234567901235,0.0018701370155311309
168,The Parkers,1,1999,8,0.08085106382978724,0.654320987654321,0.0010320581691085284
169,Heavy,0,1995,4,0.4468085106382979,0.654320987654321,0.0021672780689182083
170,Bill Hicks: Revelations,0,1993,11,0.3148936170212766,0.8641975308641975,0.0013578552588014812
171,Sankofa,0,1993,11,0.5276595744680851,0.6790123456790124,0.00029670019129006387
172,Dale's Supermarket Sweep,1,1993,6,0.08936170212765958,0.691358024691358,1.4989311298457908e-05
173,Jerry Seinfeld: I'm Telling You for the Last Time,0,1998,0,0.3191489361702128,0.7901234567901235,0.0025697851634915044
