,full_text,username
0,belajar agama kok berdasarkan tulisan di google. bahkan km sendiri aja gak tahu itu hadist apa ayat di Al-Qur'an.hati2 ngetwit kekerasan apalagi itu menyangkut nyawa manusia. apakah kamu pernah dengar ustad ngomong bunuh lgbt? ngeri loh itu,egalistia11
1,"@utdfocusid @bliblidotcom Ada morton, yg dipanggil maino. Mampus lah bengak sih",Mershiseptieme
2,"@utdfocusid @bliblidotcom Ya gimana bego bener, ada elliot yg dipanggil raspot 😂",Mershiseptieme
3,@Icad4U Pake parfum wanginya sama = fix beneran LGBT 🗿,perwanta3241
4,"Puas ya kalo ngobrol sm orang yang selalu melihat suatu issue berdasarkan sudut pandang keilmuan, apalagi sensitive topics semacam lgbt. Sampai ujungnya lari ke teori sigmund freud ID, Ego, Superego.  3 jam adu argument tanpa jeda juga ok.",mpraspberry
5,LGBT  Lee min hoo G-dragon Bang chan Taehyung,Awan_one010
6,@thesharktattooo Dasar lgbt gerakan terrorist-Putin,yusoffetih
7,"@hepi_hepi_hepi_ @TxtdariHI Lu yang aneh LGBT aja dah jeleg jelas² gender itu ada 2 cewek dan cowok,di LGBT masak cowok bisa ngaku jadi cewek menang lia Thomas lagi memang kaum kek gitu caper mengganggu lagi ewhhh",DaviSama2661
8,"tl rame bgt sama homophobic dan per lgbt an, jadi inget dulu sebelum jadi fjkt gue sempet jadi fangirl nya Twice DANNNN sampe dikatain lesbi karena lebih ngefangirl Girl group ketimbang boy group wkwk LAH MANG NAPA SI KAN YG NGE FANGIRL GUE BUKAN ELO RIBET BANGET LO BIJI KURMA",globural
9,@SGboy100 @multabolot lgbt diam aja tolol,gemersgantenk
10,"@diaryhijrah08 Tahun lalu ada banyak musibah gempa dan banjir, yang disalahin LGBT. Kalo tahun ini ada musibah² itu yang disalahin Prabowo atau jokowi",TaufiqMuhammad0
11,Paling benci sm bencong atau crossdresser yg udh melewati batas kek gini. Mau lo udh operasi jg fitrah lo dr rahim emak lo itu tetap laki. Mau seluruh kaum lgbt ngakuin lo cewe ya tetap aja solat di shaf cowok bukan cewek. Ke wc cowok. Dah gila.,ragnalagnia
12,stop konyol lgbt @310804_ @Cinnamoero,JkSaranghae1907
13,@imdeein LGBT tidak berkata kasar kawan😇,parwezzyy
14,nih LGBT https://t.co/v6fhIX7qBQ,lenantheajubu
15,"@PartaiSocmed Gue kasih paham, walau khomer di dapat bukan hasil mencuri melainkan membeli, tidak akan menjadikan khomer itu menjadi halal.  Catat di akalmu, klo kmu memang berakal.  Begitu juga starbak yng dominan penyumbang zion dan lgbt",dirgan_silvana
16,@Icad4U lgbt : lontong gemblong bakwan tahu🥰,Rixxzyz
17,@sidneyalesandra Wah lucu banget kalo misalnya gitu alasannya soalnya beberapa reviewer ini tampak progresif sama isu lgbt dan mereka suka CMBYN,magentaflakez
18,"@PartaiSocmed Ngomong apa?? Membuat perbandingan yng baik dengan yng buruk, bumi Alloh itu luas, begitu rejekinya.  Yng harus di pertanyakan kenapa seorang muslim yng hususnya sadar kenapa bekerja di tempat penyumbang zionis dan lgbt.",dirgan_silvana
19,@Icad4U kalo samaan sama lawan jenis lgbt juga ga?😭,asheliaaddict
20,"Kalo liat orang lain pakai baju couple dih lgbt, cuihh"" sedangkan kalau greshan pakai baju couple ""ihh cocok banget sih 🥰""""",AufaGhazian
21,"Stres emang kalo orang dah terpengaruh gara  sering liat au lgbt""",brz381
22,baru tau kalo baju samaan disebut lgbt.,kaizyy
23,yess browh i'm 100% LGBT👊😎  Lelaki Ganteng Bertaqwa kepada Tuhan,parwezzyy
24,"@lANZAlNAL Dimana ada isu melayu, disitulah adanya Diya si gemuk hitam berkerak yang nak jadi champ untuk races issue. Mesti dia join lgbt movement sebab takde laki nak kat dia yang tak semenggah tu. Boleh lahh bagi kahwin dengan si azmer liberty.",yeen_lyy
25,"@lamabenerdah benerr, tpi si caseey itu support lgbt, suka nonton homo, dia bawa agama tpi gtu😔😭😭",mumuuchann
26,"kalo reply soal agama saranku research dlu. Di Al-Quran tidak ada hadits soal orang LGBT langsung dibunuh.  Dalam Hadits, Ibnu Abbas RA pun menjelaskan Bahwa yang dibunuh adalah yang sudah melakukan perbuatan sodomi.  Mending dibaca Surat Al-Buruj: 10 tentang Fitnah https://t.co/jK3tdoRETC",galonberkahh
27,LGBT  Lagi Gabut Bisa Tadarus,minkesupremacy
28,LGBT  Lelaki Ganteng Berjualan Tahu,broccazo
29,"@Icad4U Dompetnya sama Sepatunya sama Saldo di rekeningnya sama  Memang benar, kita tuh disatukan karena perbedaan  Kalau persamaan mulu pasti dikiranya lgbt",_48DEE
