,full_text,username,Sentimen
0,"Puas ya kalo ngobrol sm orang yang selalu melihat suatu issue berdasarkan sudut pandang keilmuan, apalagi sensitive topics semacam lgbt. Sampai ujungnya lari ke teori sigmund freud ID, Ego, Superego.  3 jam adu argument tanpa jeda juga ok.",mpraspberry,positif
1,@zazaashann @raizaraisha Itu Hadist.masih diperdebatkan dan berbeda pendapat antar ulama. Bukan Al Quran yg jelas2 firman. Dan indonesia pun g ada hukuman mati baik zina straight maupun lgbt. Anda g berhak untuk menyarankan membunuh kalaupun didepan anda bener2 lesbi atau apapun. Jadi jangan diulang lagi,FikritheAdvisor,positif
2,"udahlah gay fetishizer, homophobic, apa pula ini bilang boleh ngebunuh lgbt? kalo gatau bener apa ngga mah aturan jangan diposting lah, cari tau dulu itu bener apa ngga. aneh.",lovewinsaIl,positif
3,"@_L0KA @txtdrimedia Yg jawab gitu kadang tontonannya juga porn sesama jenis, tongkrongannya juga komunitas lgbt. Kenapa gue tau, soalnya dari kampus ke kampus ada aja cerita org yg begini. Kampus top, kampus gk terkenal, semua ada dan polanya sama.",hrd_chumbucket,positif
4,"@Meldy86 Banyak sih, soal LGBT, soal anak2 ngikutin kardashian, soal transgender, banyak juga yang bikin gue angguk-angguk hahaha. Dia lagi bikin rame soalnya dia ke Gaza dan ikut neriakin ceasefire sampe cabut dari daily wire",diansubrata,positif
5,"@masprikk Ya ampun. Emang sih, di sana laki sama laki itu normal. Cewe sama cewe normal. Nikah pun boleh. Cuma di sini emg LGBT punya kekuatan super bisa menimbulkan gempa. Orang2 straight zinah mah tak berdosaaa",dxachu,positif
6,"@RandomWorldWar Ormas NATO LGBT beraninya cuman main keroyokan   Gedek juga sama hegemoni NATO ini, merasa paling superior 🗿",taufikherma,positif
7,@Deproleteriat2 better than trnny fggt,WamuuC,positif
8,"@SCrazy42631 @Haqiqatjou Kebiasaan kaum goblok, ngomongi ISIS jadi ke LGBT, kalau udah kalah debat cuma bisa ngehina 🤣 otak smooth mmg kayak gini, tolol",badebening,positif
9,"Tambahan dalam latest episod, ditunjukkan babak bts watak penulis skrip Ezad cuba meluruskan kefahaman produksi di sebalik tabir tentang beza khunsa dan LGBT yang mana norma masyarakat kita masih membakulsampahkan golongan ini dengan gerakan sesat LGBT.",hakiimIsmail95,positif
10,akunku not safe for homophobic ya.. bc i’m a part of lgbt 🎀💒💬 !!! aku juga hype animangas +++ HSR HI3 ‼️‼️,babufess,negatif
11,"@txtdrimedia harusnya si begini, LGBT itu psikopat dan berpenyakit mental kronis",typingtwt,negatif
12,"Waktu itu pas tau ada isu lgbt dimasukin di drakor pyramid game gue maju-mundur buat nontonnya. Pas nonton episode berapa gue lupa, yang part shim eunjung diancem baek harin yang mana dia bilang gimana kalo dia lapor kalo atlet (shim eunjung) suka sesama jenis, dan eunjung sama-",delightpeony,negatif
13,@18fesss Base ini ga ramah lgbt ya wkwk,hanadiva576,negatif
14,@18fesss Hanya org idiot yg mendukung dan menjadi bagian dari lgbt 🏳️‍🌈💩,tukangrtweet17,negatif
15,"seriously sis, nobody fucking care. jika anda tidak suka dengan tahap kebersihan bazar ramadhan, jangan pergi. kerana sesungguhnya keberadaan anda adalah sebuah kelancauan. fuck lgbt",kdg2pns,negatif
16,"@gilabola_ina @TotalFootbol dengan gampangnya lambang2 sakral diedit kek gini.  kesel sumpah ama lgbt, gw udh dont give a fuck gmna pun, tpi suka tiba2 nyusup jadi sponsor hal2 yg gw suka, mau itu gim, band, atau apapun, fck lah",ilhamemnur13,negatif
17,"Penyimpangan kejiwaan dan karakter seperti LGBT, bisa diakibatkan pergaulan bebas akibat jauh dari nilai agama, boleh jadi karena broken home, seolah kelainan, padahal pelarian.  Kadang ada wayang mengatakan LGBT itu seperti lepra dan aids  suatu kutukan bagi pendosa pemaksiat.",ncuhidorowoni,negatif
18,"Dr makluk2 LGBT bangsat macam oli london ini Islam disebarkan,  Gambaran mengerikan, barbar, antikristus terus menerus diblow up dan seolah menjadi sebuah kebenaran.  Faktanya ada keuntungan sedikitpun dr propaganda ini, jutru sebaliknya,   Bodohnya akun2 lokal menirunya.",dot_id_,negatif
19,Game sick🖕 Gila aja game lgbt begini buat umur 4 tahun https://t.co/Fee3JmHkUj,yeyebang,negatif
